Identifier,Business Name,Web Domain,Total Employees,Nation
71322,Gibson-Little,gibson-little.com,7203,Canada
35583,Wright-Roberts,wright-roberts.com,1201,United Kingdom
39412,Mathis PLC,mathisplc.com,4661,India
98447,"Leonard, Washington and Hall","leonard,washingtonandhall.com",5193,Australia
70291,"Murphy, Douglas and Salas","murphy,douglasandsalas.com",4060,Australia
93501,Leonard-Flores,leonard-flores.com,2396,Germany
1328,Smith Ltd,smithltd.com,1699,Canada
8999,Decker PLC,deckerplc.com,1471,India
12,Gilbert-Hodge,gilbert-hodge.com,4154,United States
9986,Lamb-Newman,lamb-newman.com,5661,Canada
